signal_date,symbol,entry_date,entry_open,exit_date,exit_close,gross_return,win
2025-01-10,3624,2025-01-14,209.0,2025-01-20,198.0,-0.052631578947368474,False
2025-01-14,3137,2025-01-15,197.5,2025-01-21,186.0,-0.0582278481012658,False
2025-01-15,4935,2025-01-16,395.3999938964844,2025-01-22,361.0,-0.08700049172355395,False
2025-01-16,4416,2025-01-17,845.0,2025-01-23,720.0,-0.14792899408284022,False
2025-01-17,4935,2025-01-20,364.2000122070313,2025-01-24,398.0,0.09280611383877413,True
2025-01-20,8783,2025-01-21,668.0,2025-01-27,621.0,-0.07035928143712578,False
2025-02-03,2586,2025-02-04,205.0,2025-02-10,185.0,-0.09756097560975607,False
2025-02-04,5246,2025-02-05,1001.0,2025-02-12,904.0,-0.09690309690309695,False
2025-02-05,4935,2025-02-06,316.3999938964844,2025-02-13,333.20001220703125,0.05309740402853258,True
2025-02-06,6721,2025-02-07,146.0,2025-02-14,143.0,-0.020547945205479423,False
2025-02-07,4978,2025-02-10,210.0,2025-02-17,190.0,-0.09523809523809523,False
2025-02-20,3823,2025-02-21,77.0,2025-02-28,82.0,0.06493506493506485,True
2025-02-21,5597,2025-02-25,1023.0,2025-03-03,1055.0,0.03128054740957964,True
2025-02-25,3823,2025-02-26,80.0,2025-03-04,106.0,0.32499999999999996,True
2025-02-26,6835,2025-02-27,270.0,2025-03-05,217.0,-0.1962962962962963,False
2025-02-27,5597,2025-02-28,1080.0,2025-03-06,964.0,-0.1074074074074074,False
2025-02-28,3628,2025-03-03,760.0,2025-03-07,570.0,-0.25,False
2025-03-04,3823,2025-03-05,114.0,2025-03-11,140.0,0.22807017543859653,True
2025-03-13,3823,2025-03-14,178.0,2025-03-21,149.0,-0.1629213483146067,False
2025-03-28,6786,2025-03-31,71.0,2025-04-04,51.0,-0.2816901408450704,False
2025-03-31,5721,2025-04-01,113.0,2025-04-07,72.0,-0.36283185840707965,False
2025-04-02,5721,2025-04-03,100.0,2025-04-09,90.0,-0.09999999999999998,False
2025-04-10,3823,2025-04-11,93.0,2025-04-17,122.0,0.31182795698924726,True
2025-05-16,2673,2025-05-19,154.0,2025-05-23,131.0,-0.14935064935064934,False
2025-05-19,9610,2025-05-20,154.0,2025-05-26,129.0,-0.16233766233766234,False
2025-05-20,7063,2025-05-21,361.0,2025-05-27,308.0,-0.146814404432133,False
2025-05-21,6786,2025-05-22,78.0,2025-05-28,71.0,-0.08974358974358976,False
2025-05-22,6574,2025-05-23,49.54999923706055,2025-05-29,56.09999847412109,0.13218969400430414,True
2025-05-23,4222,2025-05-26,780.0,2025-05-30,699.0,-0.10384615384615381,False
2025-05-26,9610,2025-05-27,127.0,2025-06-02,147.0,0.15748031496062986,True
2025-06-06,5721,2025-06-09,172.0,2025-06-13,262.0,0.5232558139534884,True
2025-06-13,3936,2025-06-16,283.0,2025-06-20,255.0,-0.09893992932862195,False
2025-06-16,5721,2025-06-17,390.0,2025-06-23,315.0,-0.1923076923076923,False
2025-06-19,5721,2025-06-20,350.0,2025-06-26,331.0,-0.05428571428571427,False
2025-06-23,6993,2025-06-24,44.0,2025-06-30,89.0,1.022727272727273,True
2025-06-24,2134,2025-06-25,51.0,2025-07-01,88.0,0.7254901960784315,True
2025-06-25,5255,2025-06-26,257.0,2025-07-02,182.0,-0.29182879377431903,False
2025-07-03,5721,2025-07-04,173.0,2025-07-10,148.0,-0.1445086705202312,False
2025-07-04,6046,2025-07-07,172.0,2025-07-11,132.0,-0.2325581395348837,False
2025-07-07,6993,2025-07-08,66.0,2025-07-14,67.0,0.015151515151515138,True
2025-07-16,2134,2025-07-17,60.0,2025-07-24,71.0,0.18333333333333335,True
2025-07-18,7138,2025-07-22,291.20001220703125,2025-07-28,248.8000030517578,-0.1456044209405073,False
2025-07-22,6731,2025-07-23,830.0,2025-07-29,810.0,-0.02409638554216864,False
2025-08-29,7615,2025-09-01,216.0,2025-09-05,232.0,0.07407407407407418,True
2025-09-01,2315,2025-09-02,171.0,2025-09-08,138.0,-0.19298245614035092,False
2025-09-16,3656,2025-09-17,262.0,2025-09-24,177.0,-0.3244274809160306,False
2025-09-18,3323,2025-09-19,163.0,2025-09-26,125.0,-0.2331288343558282,False
2025-09-24,3997,2025-09-25,360.5,2025-10-01,289.0,-0.1983356449375867,False
2025-09-29,4586,2025-09-30,160.0,2025-10-06,135.0,-0.15625,False
2025-10-01,2673,2025-10-02,268.0,2025-10-08,217.0,-0.19029850746268662,False
2025-10-02,4446,2025-10-03,680.0,2025-10-09,1252.0,0.8411764705882352,True
2025-10-06,4446,2025-10-07,775.0,2025-10-14,1521.0,0.9625806451612904,True
2025-10-07,9240,2025-10-08,1082.0,2025-10-15,750.0,-0.3068391866913124,False
2025-10-10,9240,2025-10-14,816.0,2025-10-20,671.0,-0.17769607843137258,False
2025-10-14,6177,2025-10-15,225.0,2025-10-21,192.0,-0.1466666666666666,False
2025-10-29,2459,2025-10-30,564.0,2025-11-06,302.0,-0.46453900709219853,False
2025-10-30,7746,2025-10-31,425.0,2025-11-07,394.0,-0.07294117647058829,False
2025-10-31,8105,2025-11-04,699.0,2025-11-10,674.0,-0.03576537911301858,False
2025-11-05,6276,2025-11-06,636.0,2025-11-12,457.0,-0.28144654088050314,False
2025-11-07,6276,2025-11-10,545.0,2025-11-14,393.0,-0.27889908256880735,False
2025-11-18,6993,2025-11-19,65.0,2025-11-26,76.0,0.1692307692307693,True
2025-11-20,6993,2025-11-21,60.0,2025-11-28,138.0,1.2999999999999998,True
2025-11-25,6993,2025-11-26,76.0,2025-12-02,138.0,0.8157894736842106,True
2025-12-03,6993,2025-12-04,107.0,2025-12-10,100.0,-0.06542056074766356,False
2025-12-05,6993,2025-12-08,90.0,2025-12-12,78.0,-0.1333333333333333,False
2025-12-08,6433,2025-12-09,760.0,2025-12-15,772.0,0.015789473684210575,True
2025-12-09,6993,2025-12-10,100.0,2025-12-16,77.0,-0.22999999999999998,False
2025-12-11,3444,2025-12-12,593.0,2025-12-18,624.0,0.05227655986509272,True
2025-12-17,6629,2025-12-18,930.0,2025-12-24,1114.0,0.1978494623655913,True
2025-12-22,6629,2025-12-23,1120.0,2025-12-29,1266.0,0.13035714285714284,True
