selector,candidate,period,coverage,n,minimum_starting_cash_yen,ending_cash_yen,cash_profit_yen,increase_on_starting_cash_pct,gross_deployed_capital_yen,profit_on_gross_deployed_pct,mean_trade_return_pct,cash_rank
body_pct_low,body_pct LOW,2023,2023-2026,50,217696.66748050001,315103.33213806001,97406.664657560003,44.744214867820666,2296250.0032425201,4.2419886562879769,5.8028565680406592,1
dual_top1_agreement,DUAL_TOP1_AGREEMENT,2023,2023-2026,46,201829.99877930002,285003.33213806001,83173.333358760006,41.209599099145606,2077583.3345413201,4.0033692981621201,6.0171978247883908,2
volr20_low,volr20 LOW,2023,2023-2026,50,208929.99877930002,285003.33213806001,76073.333358760006,36.410919352523855,2263783.3345413199,3.3604511614700847,5.2452908360531199,3
mean_rank_volr20_body_pct,"mean-rank(volr20, body_pct)",2023,2023-2026,50,212996.66748050001,285003.33213806001,72006.664657560003,33.806474772264814,2281650.0032425201,3.1559031646058422,5.1692758213010599,4
dual_top1_agreement_g3_no_acute_selloff,DUAL + G3,2023,2023-2026,36,243079.99877930002,284423.33335875999,41343.334579459995,17.008118638751888,1672213.33332062,2.472372020701564,5.4444373782665281,5
mean_rank_volr20_body_pct,"mean-rank(volr20, body_pct)",2024,2023-2026,78,204040.00091559999,322456.67037980002,118416.66946420001,58.036007122535935,2678510.00061038,4.4209903803687567,8.441927365864089,1
body_pct_low,body_pct LOW,2024,2023-2026,78,211908.33129879,290700,78791.668701210001,37.181958924547438,2863505.0010681702,2.7515813198097585,6.8829992464402423,2
dual_top1_agreement_g3_no_acute_selloff,DUAL + G3,2024,2023-2026,47,204040.00091559999,278583.33129881998,74543.330383219989,36.533684595529103,1640816.67022718,4.5430627160131829,8.862385067113447,3
dual_top1_agreement,DUAL_TOP1_AGREEMENT,2024,2023-2026,57,221206.66885378002,292919.9996948,71713.330841019982,32.419154093597093,2012536.66992198,3.5633303935674419,7.5734310360112103,4
volr20_low,volr20 LOW,2024,2023-2026,78,276876.66854859999,339086.66839599999,62209.999847399995,22.468487566506642,2635656.6696167802,2.3603225930198724,6.8766552790907545,5
volr20_low,volr20 LOW,2025,2023-2026,44,301799.9999999,409559.99908445997,107759.99908456,35.705765104239795,1546630.0010679602,6.9674064908963924,6.5762456563379548,1
mean_rank_volr20_body_pct,"mean-rank(volr20, body_pct)",2025,2023-2026,44,273899.9999999,370199.99923705001,96299.999237149997,35.158816808026714,1490900.0007627802,6.4591856722704817,6.0859365475731817,2
body_pct_low,body_pct LOW,2025,2023-2026,44,279080.00183099997,373966.66793825,94886.666107249999,33.999808472378355,1554726.66702258,6.1031091908242106,6.7812724081499995,3
dual_top1_agreement_g3_no_acute_selloff,DUAL + G3,2025,2023-2026,34,212980.00183099997,300659.99908445997,87679.997253459995,41.16818316258361,1181190.0016783599,7.4230223019899384,9.4346421270532357,4
dual_top1_agreement,DUAL_TOP1_AGREEMENT,2025,2023-2026,37,212980.00183099997,296459.99908445997,83479.997253459995,39.196167027785798,1217290.0016783599,6.8578561508235909,7.969330499775948,5
cloud_monster_canonical,Cloud Monster canonical,2026,2026-only,63,473900,627400,153500,32.390799746782022,2934000,5.2317655078391274,4.5821476910933887,1
body_pct_low,body_pct LOW,2026,2023-2026,42,209400,348500,139100,66.427889207258843,2300689.9993896484,6.0460122848754914,4.9018338774162,2
mean_rank_volr20_body_pct,"mean-rank(volr20, body_pct)",2026,2023-2026,42,209400,348100,138700,66.236867239732561,2261489.9993896484,6.1331246230332042,5.0805830389545523,3
volr20_low,volr20 LOW,2026,2023-2026,42,201350,318700,117350,58.281599205363797,2163839.9993896484,5.4232290757681145,3.2030090985062478,4
dual_top1_agreement,DUAL_TOP1_AGREEMENT,2026,2023-2026,36,218050,318700,100650,46.159137812428341,1977039.9993896484,5.0909440391227623,3.2604287906132123,5
dual_top1_agreement_g3_no_acute_selloff,DUAL + G3,2026,2023-2026,32,228050,314800,86750,38.039903529927649,1764439.9993896484,4.9165740988647038,2.5819242383118661,6
