selector,period,source_status,n,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,plus50_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top1_ex_mean_pct,top3_ex_mean_pct,one_hundred_shares_pl_yen,rank__mean_pct,rank__median_pct,rank__win_pct,rank__top3_ex_mean_pct,rank__max_down_pct,rank__minus10_pct,rank__minus20_pct,ordinal_score,rank
body_pct_low,2023,EXACT_CANONICAL_ROWS,50,5.8028565680406592,0.48262548262549992,50,30,20,8,30,6,106.403940887,-25.666666666699999,3.7497732145925098,0.89717929291346865,97406.664657596004,2,2.5,2,1,3,2,2,2.0714285714285716,1
dual_top1_agreement,2023,EXACT_CANONICAL_ROWS,46,6.0171978247883908,0.48262548262549992,50,30.434782608695656,19.565217391304348,8.695652173913043,30.434782608695656,6.5217391304347823,106.403940887,-25.666666666699999,3.7863813122947994,0.67013251872479018,83173.33335876801,1,2.5,2,2,3,4,4,2.6428571428571428,2
volr20_low,2023,EXACT_CANONICAL_ROWS,50,5.2452908360531199,0,48,30,18,8,30,6,106.403940887,-25.666666666699999,3.1808285901154281,0.30402425888416962,76073.333358767981,4,4.5,4.5,3,3,2,2,3.2857142857142856,3
dual_top1_agreement_g3_no_acute_selloff,2023,EXACT_CANONICAL_ROWS,36,5.4444373782665281,0.50505050505000004,50,30.555555555555561,16.666666666666664,8.3333333333333304,33.333333333333329,8.3333333333333304,106.403940887,-25.666666666699999,2.5598801351598564,-1.360041156091061,41343.334579468006,3,1,2,5,3,5,5,3.4285714285714284,4
mean_rank_volr20_body_pct,2023,EXACT_CANONICAL_ROWS,50,5.1692758213010599,0,48,28.000000000000004,18,8,30,6,106.403940887,-25.666666666699999,3.103262248531693,0.22315722191389309,72006.664657596004,5,4.5,4.5,4,3,2,2,3.5714285714285716,5
mean_rank_volr20_body_pct,2024,EXACT_CANONICAL_ROWS,78,8.441927365864089,2.4338099042049999,58.974358974358978,33.333333333333329,20.512820512820511,8.9743589743589745,24.358974358974361,8.9743589743589745,111.111111111,-52.370368109800005,7.1085613431999857,4.6717873410599857,118416.66946415701,2,1,2,1,4.5,1.5,2,2,1
dual_top1_agreement_g3_no_acute_selloff,2024,EXACT_CANONICAL_ROWS,47,8.862385067113447,1.98198198198,59.574468085106382,27.659574468085108,19.148936170212767,10.638297872340424,25.531914893617021,12.76595744680851,111.111111111,-41.923076923099998,6.6395866748550443,2.4646775953734554,74543.330383343011,1,2,1,4,2,3,5,2.5714285714285716,2
dual_top1_agreement,2024,EXACT_CANONICAL_ROWS,57,7.5734310360112094,1.7391304347800001,56.140350877192979,28.07017543859649,17.543859649122805,8.7719298245614024,26.315789473684209,10.526315789473683,111.111111111,-41.923076923099998,5.7245438918149834,2.2888756499025749,71713.330841107003,3,3,3,5,2,4,4,3.4285714285714284,3
body_pct_low,2024,EXACT_CANONICAL_ROWS,78,6.8829992464402414,1.6271409749650003,53.846153846153847,29.487179487179489,16.666666666666664,7.6923076923076925,28.205128205128204,8.9743589743589745,111.111111111,-41.923076923099998,5.5293874040433639,3.0505020968591867,78791.668701215007,4,4.5,5,2,2,5,2,3.5,4
volr20_low,2024,EXACT_CANONICAL_ROWS,78,6.8766552790907545,1.6271409749650003,55.128205128205131,29.487179487179489,19.230769230769237,8.9743589743589745,24.358974358974361,8.9743589743589745,111.111111111,-52.370368109800005,5.522961047507521,3.0439043708157194,62209.999847480998,5,4.5,4,3,4.5,1.5,2,3.5,5
dual_top1_agreement_g3_no_acute_selloff,2025,EXACT_CANONICAL_ROWS,34,9.4346421270532357,0.36642258005999989,50,38.235294117647058,20.588235294117645,8.8235294117647047,26.47058823529412,5.8823529411764701,130,-39.869281045800001,5.7811464339336354,0.767840077545485,87679.99725342798,1,1.5,1.5,1,3,1,1,1.4285714285714286,1
volr20_low,2025,EXACT_CANONICAL_ROWS,44,6.5762456563379548,0.36642258005999989,50,36.363636363636367,18.181818181818183,6.8181818181818175,31.818181818181817,6.8181818181818175,130,-39.869281045800001,3.7059257878806977,-0.1858531960251216,107759.999084478,4,1.5,1.5,4,3,3.5,3,2.9285714285714284,2
dual_top1_agreement,2025,EXACT_CANONICAL_ROWS,37,7.969330499775948,-2.39520958084,48.648648648648646,37.837837837837839,18.918918918918919,8.1081081081081088,29.72972972972973,8.1081081081081088,130,-39.869281045800001,4.5795896803252782,-0.0620459242408819,83479.99725342798,2,3,3,3,3,2,5,3,3
body_pct_low,2025,EXACT_CANONICAL_ROWS,44,6.7812724081500004,-3.76121145847,45.454545454545446,36.363636363636367,20.454545454545457,6.8181818181818175,31.818181818181817,6.8181818181818175,130,-39.869281045800001,3.9157206036883729,0.034175513236585103,94886.666107187993,3,4,4.5,2,3,3.5,3,3.2857142857142856,4
mean_rank_volr20_body_pct,2025,EXACT_CANONICAL_ROWS,44,6.0859365475731817,-4.04467999456,45.454545454545446,34.090909090909086,18.181818181818183,6.8181818181818175,34.090909090909086,6.8181818181818175,130,-39.869281045800001,3.2042141417027907,-0.71203858104097562,96299.999237067997,5,5,4.5,5,3,5,3,4.3571428571428568,5
mean_rank_volr20_body_pct,2026,EXACT_CANONICAL_ROWS,42,5.0805830389545523,1.3792172739541195,50,35.714285714285715,23.809523809523807,2.3809523809523809,28.571428571428569,9.5238095238095237,51.147540983606568,-29.708520179372201,3.9569986988410881,1.9888800204084387,138700,1,1.5,1.5,1,3.5,2.5,4,2.1428571428571428,1
body_pct_low,2026,EXACT_CANONICAL_ROWS,42,4.9018338774162,1.3792172739541195,50,35.714285714285715,23.809523809523807,2.3809523809523809,28.571428571428569,9.5238095238095237,51.147540983606568,-29.708520179372201,3.773889801655459,1.7963809233671375,139100,2,1.5,1.5,2,3.5,2.5,4,2.4285714285714284,2
cloud_monster_canonical,2026,EXACT_CANONICAL_ROWS,63,4.5821476910933798,-0.14064697608999999,49.206349206349195,30.158730158730151,15.87301587301587,,20.634920634920633,7.9365079365079305,87.200000000000017,-41.044776119402982,,1.3912920491392999,153500,3,3,3,3,6,1,1,2.8571428571428572,3
dual_top1_agreement_g3_no_acute_selloff,2026,EXACT_CANONICAL_ROWS,32,2.5819242383118648,-0.98663460536173575,43.75,25,15.625,3.125,31.25,9.375,51.147540983606568,-25.921219822109279,1.0152914400765527,-1.8343652142821516,86750,6,4.5,5,6,1,6,2,4.3571428571428568,4
dual_top1_agreement,2026,EXACT_CANONICAL_ROWS,36,3.260428790613211,-0.98663460536173575,44.444444444444443,27.777777777777775,19.444444444444446,2.7777777777777777,30.555555555555561,11.111111111111112,51.147540983606568,-29.708520179372201,1.8922255850991161,-0.55887061751777167,100650,4,4.5,4,5,3.5,4,6,4.4285714285714288,5
volr20_low,2026,EXACT_CANONICAL_ROWS,42,3.2030090985062478,-1.2454981992797098,42.857142857142847,28.571428571428569,19.047619047619047,2.3809523809523809,30.952380952380956,9.5238095238095237,51.147540983606568,-29.708520179372201,2.0336302720403854,-0.033122684689735601,117350,5,6,6,4,3.5,5,4,4.7857142857142856,6
