symbol,name,cloud_time,cloud_ret5,score,teacher_near,teacher_best,stable_near,stable_best
6085,アーキテクツ・スタジオ・ジャパン,2026-03-09 09:00:00,1.236024844720497,0.7858883224507756,0,,0,
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,2026-05-28 13:00:00,0.8278145695364238,0.947124405555424,1,0.828,1,0.828
4422,ＶＡＬＵＥＮＥＸ,2026-04-03 09:00:00,0.6697588126159555,0.8297398831023945,0,,0,
6840,ＡＫＩＢＡホールディングス,2026-05-18 09:00:00,0.5822072072072073,0.8306195951316115,0,,0,
4052,フィーチャ,2026-07-31 09:00:00,0.5584795321637428,0.9231825573748172,1,0.5,0,
9425,ＲｅＹｕｕ　Ｊａｐａｎ,2026-04-27 09:00:00,0.4828767123287671,0.8892537382983754,2,0.434,0,
4935,リベルタ,2026-06-29 09:00:00,0.4194915254237288,0.9204506433717738,0,,0,
2338,クオンタムソリューションズ,2026-03-10 09:00:00,0.3984962406015038,0.8954946240131498,1,0.444,0,
6666,リバーエレテック,2026-03-05 09:00:00,0.3872472783825815,0.8053279293431923,1,0.373,1,0.373
7082,ジモティー,2026-05-18 09:00:00,0.3747572815533981,0.8427425866735659,0,,0,
4179,ジーネクスト,2026-06-11 09:00:00,0.3333333333333332,0.7760400885969975,1,-0.1969999999999999,0,
9237,笑美面,2026-06-15 13:00:00,0.303921568627451,0.901909318899456,1,0.304,0,
6740,ジャパンディスプレイ,2026-04-14 13:00:00,0.2747252747252746,0.8573233927514814,0,,0,
7162,アストマックス,2026-05-01 09:00:00,0.2718120805369128,0.937440752069478,1,0.272,1,0.272
2338,クオンタムソリューションズ,2026-03-05 09:00:00,0.2519685039370078,0.8687236465278967,1,0.444,0,
2492,インフォマート,2026-07-02 13:00:00,0.2424999999999999,0.8695601037962993,1,0.23,1,0.23
6840,ＡＫＩＢＡホールディングス,2026-05-21 09:00:00,0.24235807860262,0.8001327405499049,0,,0,
3989,シェアリングテクノロジー,2026-06-29 13:00:00,0.2401746724890829,0.8450767462435825,0,,0,
4259,エクサウィザーズ,2026-05-13 09:00:00,0.2260967379077616,0.7782253833128803,0,,0,

