signal_date,signal_timestamp,symbol,candidate_identity,entry_date,entry_open,exit_date,exit_close,gross_return,signal_close,legacy_gross_return
2026-03-05,2026-03-05 09:00:00,157A,157A|2026-03-05 09:00:00,2026-03-06,1332.0,2026-03-12,1354.0,0.016516516516516422,1146.0,0.181500872600349
2026-03-05,2026-03-05 09:00:00,2338,2338|2026-03-05 09:00:00,2026-03-06,152.0,2026-03-12,159.0,0.046052631578947345,127.0,0.2519685039370078
2026-03-05,2026-03-05 13:00:00,2884,2884|2026-03-05 13:00:00,2026-03-06,996.0,2026-03-12,963.0,-0.033132530120481896,1002.0,-0.0389221556886227
2026-03-05,2026-03-05 13:00:00,4881,4881|2026-03-05 13:00:00,2026-03-06,118.0,2026-03-12,100.0,-0.15254237288135597,112.0,-0.1071428571428571
2026-03-05,2026-03-05 09:00:00,6666,6666|2026-03-05 09:00:00,2026-03-06,648.0,2026-03-12,892.0,0.3765432098765431,643.0,0.3872472783825815
2026-03-05,2026-03-05 13:00:00,7908,7908|2026-03-05 13:00:00,2026-03-06,290.0,2026-03-12,279.0,-0.037931034482758585,291.0,-0.0412371134020618
2026-03-06,2026-03-06 09:00:00,7719,7719|2026-03-06 09:00:00,2026-03-09,715.0,2026-03-13,772.0,0.07972027972027962,786.0,-0.0178117048346055
2026-03-09,2026-03-09 09:00:00,6085,6085|2026-03-09 09:00:00,2026-03-10,250.0,2026-03-16,468.0,0.8720000000000001,209.3,1.236024844720497
2026-03-10,2026-03-10 09:00:00,2338,2338|2026-03-10 09:00:00,2026-03-11,153.0,2026-03-17,186.0,0.21568627450980382,133.0,0.3984962406015038
2026-03-10,2026-03-10 09:00:00,3840,3840|2026-03-10 09:00:00,2026-03-11,85.0,2026-03-17,80.0,-0.05882352941176472,78.0,0.0256410256410255
2026-03-13,2026-03-13 13:00:00,2321,2321|2026-03-13 13:00:00,2026-03-16,402.0,2026-03-23,237.0,-0.4104477611940298,417.0,-0.4316546762589928
2026-03-16,2026-03-16 09:00:00,4422,4422|2026-03-16 09:00:00,2026-03-17,463.0,2026-03-24,522.0,0.12742980561555073,488.0,0.069672131147541
2026-03-17,2026-03-17 09:00:00,9399,9399|2026-03-17 09:00:00,2026-03-18,32.0,2026-03-25,31.0,-0.03125,30.0,0.0333333333333334
2026-03-24,2026-03-24 09:00:00,4594,4594|2026-03-24 09:00:00,2026-03-25,93.0,2026-03-31,69.0,-0.25806451612903225,77.0,-0.1038961038961039
2026-03-31,2026-03-31 13:00:00,4427,4427|2026-03-31 13:00:00,2026-04-01,256.0,2026-04-07,222.0,-0.1328125,274.0,-0.1897810218978102
2026-04-01,2026-04-01 13:00:00,8346,8346|2026-04-01 13:00:00,2026-04-02,711.0,2026-04-08,710.0,-0.0014064697609000865,689.0,0.0304789550072568
2026-04-01,2026-04-01 13:00:00,8714,8714|2026-04-01 13:00:00,2026-04-02,945.0,2026-04-08,975.0,0.031746031746031855,921.0,0.0586319218241042
2026-04-03,2026-04-03 09:00:00,4422,4422|2026-04-03 09:00:00,2026-04-06,641.0,2026-04-10,900.0,0.40405616224648977,539.0,0.6697588126159555
2026-04-06,2026-04-06 09:00:00,5341,5341|2026-04-06 09:00:00,2026-04-07,254.0,2026-04-13,297.0,0.1692913385826771,286.0,0.0384615384615385
2026-04-08,2026-04-08 13:00:00,547A,547A|2026-04-08 13:00:00,2026-04-09,440.0,2026-04-15,428.0,-0.027272727272727226,443.0,-0.0338600451467269
2026-04-14,2026-04-14 13:00:00,6740,6740|2026-04-14 13:00:00,2026-04-15,97.0,2026-04-21,116.0,0.19587628865979378,91.0,0.2747252747252746
2026-04-21,2026-04-21 09:00:00,4651,4651|2026-04-21 09:00:00,2026-04-22,281.0,2026-04-28,240.0,-0.14590747330960852,282.0,-0.1489361702127659
2026-04-27,2026-04-27 09:00:00,9425,9425|2026-04-27 09:00:00,2026-04-28,277.0,2026-05-08,433.0,0.5631768953068592,292.0,0.4828767123287671
2026-05-01,2026-05-01 09:00:00,7162,7162|2026-05-01 09:00:00,2026-05-07,378.0,2026-05-13,379.0,0.002645502645502562,298.0,0.2718120805369128
2026-05-08,2026-05-08 09:00:00,3996,3996|2026-05-08 09:00:00,2026-05-11,233.0,2026-05-15,209.0,-0.10300429184549353,231.0,-0.0952380952380952
2026-05-12,2026-05-12 13:00:00,3726,3726|2026-05-12 13:00:00,2026-05-13,475.0,2026-05-19,403.0,-0.15157894736842104,445.0,-0.09438202247191
2026-05-13,2026-05-13 09:00:00,4259,4259|2026-05-13 09:00:00,2026-05-14,931.0,2026-05-20,1090.0,0.1707841031149302,889.0,0.2260967379077616
2026-05-14,2026-05-14 09:00:00,2901,2901|2026-05-14 09:00:00,2026-05-15,202.0,2026-05-21,196.0,-0.02970297029702973,212.0,-0.0754716981132075
2026-05-18,2026-05-18 09:00:00,6840,6840|2026-05-18 09:00:00,2026-05-19,869.0,2026-05-25,1405.0,0.6168009205983889,888.0,0.5822072072072073
2026-05-18,2026-05-18 09:00:00,7082,7082|2026-05-18 09:00:00,2026-05-19,1330.0,2026-05-25,1416.0,0.06466165413533842,1030.0,0.3747572815533981
2026-05-21,2026-05-21 09:00:00,6840,6840|2026-05-21 09:00:00,2026-05-22,1105.0,2026-05-28,1138.0,0.029864253393665052,916.0,0.24235807860262
2026-05-22,2026-05-22 09:00:00,3133,3133|2026-05-22 09:00:00,2026-05-25,218.0,2026-05-29,159.0,-0.27064220183486243,218.0,-0.2706422018348624
2026-05-22,2026-05-22 09:00:00,6659,6659|2026-05-22 09:00:00,2026-05-25,79.0,2026-05-29,78.0,-0.012658227848101222,70.0,0.1142857142857143
2026-05-28,2026-05-28 13:00:00,8105,8105|2026-05-28 13:00:00,2026-05-29,201.0,2026-06-04,276.0,0.3731343283582089,151.0,0.8278145695364238
2026-06-01,2026-06-01 09:00:00,8783,8783|2026-06-01 09:00:00,2026-06-02,115.0,2026-06-08,103.0,-0.10434782608695647,149.0,-0.3087248322147651
2026-06-03,2026-06-03 09:00:00,5031,5031|2026-06-03 09:00:00,2026-06-04,521.0,2026-06-10,469.0,-0.09980806142034548,547.0,-0.1425959780621571
