code,name,market,ticker
1301,極洋,Prime,1301.T
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Growth,130A.T
1332,ニッスイ,Prime,1332.T
1333,Ｕｍｉｏｓ,Prime,1333.T
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Growth,135A.T
1375,ユキグニファクトリー,Prime,1375.T
1376,カネコ種苗,Standard,1376.T
1377,サカタのタネ,Prime,1377.T
1379,ホクト,Prime,1379.T
137A,Ｃｏｃｏｌｉｖｅ,Growth,137A.T
1380,秋川牧園,Standard,1380.T
1381,アクシーズ,Standard,1381.T
1382,ホーブ,Standard,1382.T
1383,ベルグアース,Standard,1383.T
1384,ホクリヨウ,Standard,1384.T
138A,光フードサービス,Growth,138A.T
1401,エムビーエス,Growth,1401.T
1407,ウエストホールディングス,Standard,1407.T
1414,ショーボンドホールディングス,Prime,1414.T
1417,ミライト・ワン,Prime,1417.T
1418,インターライフホールディングス,Standard,1418.T
1419,タマホーム,Prime,1419.T
141A,トライアルホールディングス,Growth,141A.T
1420,サンヨーホームズ,Standard,1420.T
1429,日本アクア,Prime,1429.T
142A,ジンジブ,Growth,142A.T
1430,ファーストコーポレーション,Standard,1430.T
1431,Ｌｉｂ　Ｗｏｒｋ,Growth,1431.T
1433,ベステラ,Prime,1433.T
1434,ＪＥＳＣＯホールディングス,Standard,1434.T
1435,ｒｏｂｏｔ　ｈｏｍｅ,Standard,1435.T
1436,グリーンエナジー＆カンパニー,Growth,1436.T
1438,岐阜造園,Standard,1438.T
143A,イシン,Growth,143A.T
1443,技研ホールディングス,Standard,1443.T
1444,ニッソウ,Growth,1444.T
1446,キャンディル,Standard,1446.T
1447,ＳＡＡＦホールディングス,Growth,1447.T
1450,ＴＡＮＡＫＥＮ,Standard,1450.T
145A,Ｌ　ｉｓ　Ｂ,Growth,145A.T
146A,コロンビア・ワークス,Standard,146A.T
147A,ソラコム,Growth,147A.T
148A,ハッチ・ワーク,Growth,148A.T
1491,中外鉱業,Standard,1491.T
149A,シンカ,Growth,149A.T
150A,ＪＳＨ,Growth,150A.T
1514,住石ホールディングス,Standard,1514.T
1515,日鉄鉱業,Prime,1515.T
1518,三井松島ホールディングス,Prime,1518.T
151A,ダイブグループ,Growth,151A.T
153A,カウリス,Growth,153A.T
155A,情報戦略テクノロジー,Growth,155A.T
156A,マテリアルグループ,Growth,156A.T
157A,グリーンモンスター,Growth,157A.T
1605,ＩＮＰＥＸ,Prime,1605.T
160A,アズパートナーズ,Standard,160A.T
1662,石油資源開発,Prime,1662.T
1663,Ｋ＆Ｏエナジーグループ,Prime,1663.T
166A,タスキホールディングス,Prime,166A.T
167A,リョーサン菱洋ホールディングス,Prime,167A.T
168A,イタミアート,Growth,168A.T
1711,ＳＤＳホールディングス,Standard,1711.T
1716,第一カッター興業,Standard,1716.T
1717,明豊ファシリティワークス,Standard,1717.T
1718,美樹工業,Standard,1718.T
1719,安藤・間,Prime,1719.T
1720,東急建設,Prime,1720.T
1721,コムシスホールディングス,Prime,1721.T
1723,日本電技,Standard,1723.T
1724,シンクレイヤ,Standard,1724.T
1736,オーテック,Standard,1736.T
173A,ハンモック,Growth,173A.T
1758,太洋基礎工業,Standard,1758.T
175A,Ｗｉｌｌ　Ｓｍａｒｔ,Growth,175A.T
1762,高松コンストラクショングループ,Prime,1762.T
1764,工藤建設,Standard,1764.T
1766,東建コーポレーション,Prime,1766.T
1768,ソネック,Standard,1768.T
1770,藤田エンジニアリング,Standard,1770.T
177A,コージンバイオ,Growth,177A.T
1780,ヤマウラ,Prime,1780.T
1783,ｆａｎｔａｓｉｓｔａ,Standard,1783.T
1786,オリエンタル白石,Prime,1786.T
1787,ナカボーテック,Standard,1787.T
1788,三東工業社,Standard,1788.T
1793,大本組,Standard,1793.T
1795,マサル,Standard,1795.T
1798,守谷商会,Standard,1798.T
1799,第一建設工業,Standard,1799.T
1801,大成建設,Prime,1801.T
1802,大林組,Prime,1802.T
1803,清水建設,Prime,1803.T
1807,佐藤渡辺,Standard,1807.T
1808,長谷工コーポレーション,Prime,1808.T
1810,松井建設,Standard,1810.T
1811,錢高組,Standard,1811.T
1812,鹿島建設,Prime,1812.T
1813,不動テトラ,Prime,1813.T
1814,大末建設,Prime,1814.T
1815,鉄建建設,Prime,1815.T
1820,西松建設,Prime,1820.T
1822,大豊建設,Standard,1822.T
1826,佐田建設,Standard,1826.T
1827,ナカノフドー建設,Standard,1827.T
1828,田辺工業,Standard,1828.T
1833,奥村組,Prime,1833.T
1835,東鉄工業,Prime,1835.T
1840,土屋ホールディングス,Standard,1840.T
1844,大盛工業,Standard,1844.T
1847,イチケン,Standard,1847.T
1848,富士ピー・エス,Standard,1848.T
184A,学びエイド,Growth,184A.T
1850,南海辰村建設,Standard,1850.T
1852,淺沼組,Prime,1852.T
1853,森組,Standard,1853.T
1860,戸田建設,Prime,1860.T
1861,熊谷組,Prime,1861.T
1866,北野建設,Standard,1866.T
1867,植木組,Standard,1867.T
186A,アストロスケールホールディングス,Growth,186A.T
1870,矢作建設工業,Prime,1870.T
1871,ピーエス・コンストラクション,Prime,1871.T
1873,日本ハウスホールディングス,Prime,1873.T
1878,大東建託,Prime,1878.T
1879,新日本建設,Prime,1879.T
1882,東亜道路工業,Prime,1882.T
1885,東亜建設工業,Prime,1885.T
1887,日本国土開発,Prime,1887.T
1888,若築建設,Prime,1888.T
1893,五洋建設,Prime,1893.T
1897,金下建設,Standard,1897.T
1898,世紀東急工業,Prime,1898.T
1899,福田組,Prime,1899.T
189A,Ｄ＆Ｍカンパニー,Growth,189A.T
1904,大成温調,Standard,1904.T
1905,テノックス,Standard,1905.T
1909,日本ドライケミカル,Standard,1909.T
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,Growth,190A.T
1911,住友林業,Prime,1911.T
1914,日本基礎技術,Standard,1914.T
1921,巴コーポレーション,Standard,1921.T
1925,大和ハウス工業,Prime,1925.T
1926,ライト工業,Prime,1926.T
1928,積水ハウス,Prime,1928.T
1929,日特建設,Prime,1929.T
192A,インテグループ,Growth,192A.T
1930,北陸電気工事,Prime,1930.T
1934,ユアテック,Prime,1934.T
1938,日本リーテック,Prime,1938.T
1939,四電工,Prime,1939.T
1941,中電工,Prime,1941.T
1942,関電工,Prime,1942.T
1944,きんでん,Prime,1944.T
1945,東京エネシス,Prime,1945.T
1946,トーエネック,Prime,1946.T
1948,弘電社,Standard,1948.T
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,Growth,194A.T
1950,日本電設工業,Prime,1950.T
1951,エクシオグループ,Prime,1951.T
1952,新日本空調,Prime,1952.T
1959,クラフティア,Prime,1959.T
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,Growth,195A.T
1960,サンテック,Standard,1960.T
1961,三機工業,Prime,1961.T
1963,日揮ホールディングス,Prime,1963.T
1964,中外炉工業,Prime,1964.T
1965,テクノ菱和,Standard,1965.T
1966,高田工業所,Standard,1966.T
1967,ヤマト,Standard,1967.T
1968,太平電業,Prime,1968.T
1969,高砂熱学工業,Prime,1969.T
196A,ＭＦＳ,Growth,196A.T
1972,三晃金属工業,Standard,1972.T
1975,朝日工業社,Prime,1975.T
1976,明星工業,Prime,1976.T
1979,大氣社,Prime,1979.T
197A,タウンズ,Standard,197A.T
1980,ダイダン,Prime,1980.T
1981,協和日成,Standard,1981.T
1982,日比谷総合設備,Prime,1982.T
198A,ＰｏｓｔＰｒｉｍｅ,Growth,198A.T
1992,神田通信機,Standard,1992.T
1994,高橋カーテンウォール工業,Standard,1994.T
1997,暁飯島工業,Standard,1997.T
2001,ニップン,Prime,2001.T
2002,日清製粉グループ本社,Prime,2002.T
2003,日東富士製粉,Standard,2003.T
2004,昭和産業,Prime,2004.T
2009,鳥越製粉,Standard,2009.T
2053,中部飼料,Prime,2053.T
2055,日和産業,Standard,2055.T
205A,ロゴスホールディングス,Growth,205A.T
2060,フィード・ワン,Prime,2060.T
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,Growth,206A.T
208A,構造計画研究所ホールディングス,Standard,208A.T
2108,日本甜菜製糖,Prime,2108.T
2109,ＤＭ三井製糖,Prime,2109.T
2112,塩水港精糖,Standard,2112.T
2114,フジ日本,Standard,2114.T
2117,ウェルネオシュガー,Prime,2117.T
211A,カドス・コーポレーション,Standard,211A.T
2120,ＬＩＦＵＬＬ,Prime,2120.T
2121,ＭＩＸＩ,Prime,2121.T
2122,インタースペース,Standard,2122.T
2124,ジェイエイシーリクルートメント,Prime,2124.T
2127,日本Ｍ＆Ａセンターホールディングス,Prime,2127.T
212A,フィットイージー,Prime,212A.T
2130,メンバーズ,Prime,2130.T
2134,北浜キャピタルパートナーズ,Standard,2134.T
2136,ヒップ,Standard,2136.T
2138,クルーズ,Standard,2138.T
2139,中広,Standard,2139.T
2146,ＵＴグループ,Prime,2146.T
2148,アイティメディア,Prime,2148.T
2152,幼児活動研究会,Standard,2152.T
2153,Ｅ・Ｊホールディングス,Prime,2153.T
2154,オープンアップグループ,Prime,2154.T
2156,セーラー広告,Standard,2156.T
2157,コシダカホールディングス,Prime,2157.T
2158,ＦＲＯＮＴＥＯ,Growth,2158.T
215A,タイミー,Growth,215A.T
2160,ジーエヌアイグループ,Growth,2160.T
2163,アルトナー,Prime,2163.T
2164,地域新聞社,Standard,2164.T
2168,パソナグループ,Prime,2168.T
2169,ＣＤＳ,Standard,2169.T
2170,リンクアンドモチベーション,Prime,2170.T
2173,博展,Growth,2173.T
2175,エス・エム・エス,Prime,2175.T
2179,成学社,Standard,2179.T
2180,サニーサイドアップグループ,Standard,2180.T
2181,パーソルホールディングス,Prime,2181.T
2183,リニカル,Standard,2183.T
2185,シイエム・シイ,Standard,2185.T
2186,ソーバル,Standard,2186.T
218A,Ｌｉｂｅｒａｗａｒｅ,Growth,218A.T
2193,クックパッド,Standard,2193.T
2195,アミタホールディングス,Growth,2195.T
2198,アイ・ケイ・ケイホールディングス,Prime,2198.T
219A,Ｈｅａｒｔｓｅｅｄ,Growth,219A.T
2201,森永製菓,Prime,2201.T
2204,中村屋,Standard,2204.T
2206,江崎グリコ,Prime,2206.T
2207,ｍｅｉｔｏ,Prime,2207.T
2208,ブルボン,Standard,2208.T
2209,井村屋グループ,Prime,2209.T
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,Standard,220A.T
2211,不二家,Prime,2211.T
2212,山崎製パン,Prime,2212.T
2215,第一屋製パン,Standard,2215.T
2216,カンロ,Standard,2216.T
2217,モロゾフ,Prime,2217.T
2220,亀田製菓,Prime,2220.T
2221,岩塚製菓,Standard,2221.T
2222,寿スピリッツ,Prime,2222.T
2224,コモ,Standard,2224.T
2226,湖池屋,Standard,2226.T
2229,カルビー,Prime,2229.T
2264,森永乳業,Prime,2264.T
2266,六甲バター,Prime,2266.T
2267,ヤクルト本社,Prime,2267.T
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,Standard,2268.T
2269,明治ホールディングス,Prime,2269.T
2270,雪印メグミルク,Prime,2270.T
2281,プリマハム,Prime,2281.T
2282,日本ハム,Prime,2282.T
2286,林兼産業,Standard,2286.T
2288,丸大食品,Prime,2288.T
228A,オプロ,Growth,228A.T
2291,福留ハム,Standard,2291.T
2292,Ｓ　Ｆｏｏｄｓ,Prime,2292.T
2293,滝沢ハム,Standard,2293.T
2294,柿安本店,Prime,2294.T
2296,伊藤ハム米久ホールディングス,Prime,2296.T
2300,きょくとう,Standard,2300.T
2301,学情,Prime,2301.T
2303,ドーン,Standard,2303.T
2304,ＣＳＳホールディングス,Standard,2304.T
2305,スタジオアリス,Standard,2305.T
2307,クロスキャット,Prime,2307.T
2311,エプコ,Standard,2311.T
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,Standard,2315.T
2317,システナ,Prime,2317.T
2321,ソフトフロントホールディングス,Growth,2321.T
2323,ｆｏｎｆｕｎ,Standard,2323.T
2325,ＮＪＳ,Prime,2325.T
2326,デジタルアーツ,Prime,2326.T
2327,日鉄ソリューションズ,Prime,2327.T
2329,東北新社,Standard,2329.T
2330,フォーサイド,Standard,2330.T
2331,ＡＬＳＯＫ,Prime,2331.T
2332,クエスト,Standard,2332.T
2334,イオレ,Growth,2334.T
2335,キューブシステム,Prime,2335.T
2337,いちご,Prime,2337.T
2338,クオンタムソリューションズ,Standard,2338.T
2340,極楽湯ホールディングス,Standard,2340.T
2341,アルバイトタイムス,Standard,2341.T
2342,トランスジェニックグループ,Standard,2342.T
2345,ＨＯＤＬ１,Standard,2345.T
2349,エヌアイデイ,Standard,2349.T
2351,ＡＳＪ,Standard,2351.T
2353,日本駐車場開発,Prime,2353.T
2354,ＹＥ　ＤＩＧＩＴＡＬ,Standard,2354.T
2359,コア,Prime,2359.T
2370,メディネット,Growth,2370.T
2371,カカクコム,Prime,2371.T
2373,ケア２１,Standard,2373.T
2375,ギグワークス,Standard,2375.T
2376,サイネックス,Standard,2376.T
2378,ルネサンス,Prime,2378.T
2379,ディップ,Prime,2379.T
2384,ＳＢＳホールディングス,Prime,2384.T
2385,総医研ホールディングス,Growth,2385.T
2388,ウェッジホールディングス,Growth,2388.T
2391,プラネット,Standard,2391.T
2393,日本ケアサプライ,Standard,2393.T
2395,新日本科学,Prime,2395.T
2404,鉄人化ホールディングス,Standard,2404.T
2408,ＫＧ情報,Standard,2408.T
2410,キャリアデザインセンター,Prime,2410.T
2411,ゲンダイエージェンシー,Standard,2411.T
2413,エムスリー,Prime,2413.T
2415,ヒューマンホールディングス,Standard,2415.T
2418,ツカダ・グローバルホールディング,Standard,2418.T
241A,ＲＯＸＸ,Growth,241A.T
2424,ブラス,Standard,2424.T
2425,ケアサービス,Standard,2425.T
2428,ウェルネット,Standard,2428.T
2429,ワールドホールディングス,Prime,2429.T
2432,ディー・エヌ・エー,Prime,2432.T
2433,博報堂ＤＹホールディングス,Prime,2433.T
2435,シダー,Standard,2435.T
2436,共同ピーアール,Standard,2436.T
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,Standard,2437.T
2438,アスカネット,Growth,2438.T
2440,ぐるなび,Standard,2440.T
2445,タカミヤ,Standard,2445.T
2449,プラップジャパン,Standard,2449.T
244A,グロースエクスパートナーズ,Growth,244A.T
2454,オールアバウト,Standard,2454.T
2459,アウンコンサルティング,Standard,2459.T
245A,ＩＮＧＳ,Growth,245A.T
2461,ファンコミュニケーションズ,Prime,2461.T
2462,ライク,Prime,2462.T
2464,Ａｏｂａ‐ＢＢＴ,Standard,2464.T
2469,ヒビノ,Standard,2469.T
246A,アスア,Growth,246A.T
2471,エスプール,Prime,2471.T
2475,ＷＤＢホールディングス,Prime,2475.T
2477,手間いらず,Standard,2477.T
2479,ジェイテック,Standard,2479.T
247A,Ａｉロボティクス,Growth,247A.T
2480,システム・ロケーション,Standard,2480.T
2481,タウンニュース社,Standard,2481.T
2483,翻訳センター,Standard,2483.T
2484,出前館,Standard,2484.T
2485,ティア,Standard,2485.T
2488,ＪＴＰ,Standard,2488.T
2489,アドウェイズ,Standard,2489.T
248A,キッズスター,Growth,248A.T
2491,バリューコマース,Prime,2491.T
2492,インフォマート,Prime,2492.T
2493,イーサポートリンク,Standard,2493.T
2497,ユナイテッド,Growth,2497.T
2498,オリエンタルコンサルタンツホールディングス,Standard,2498.T
2499,日本和装ホールディングス,Standard,2499.T
2501,サッポロビール,Prime,2501.T
2502,アサヒグループホールディングス,Prime,2502.T
2503,キリンホールディングス,Prime,2503.T
250A,シマダヤ,Standard,250A.T
2531,宝ホールディングス,Prime,2531.T
2533,オエノンホールディングス,Prime,2533.T
253A,ＥＴＳグループ,Standard,253A.T
254A,ＡＩフュージョンキャピタルグループ,Standard,254A.T
255A,ジーエルテクノホールディングス,Standard,255A.T
256A,飛島ホールディングス,Prime,256A.T
2573,北海道コカ・コーラボトリング,Standard,2573.T
2579,コカ・コーラ　ボトラーズジャパンホールディングス,Prime,2579.T
2585,ライフドリンク　カンパニー,Prime,2585.T
2586,フルッタフルッタ,Growth,2586.T
2587,サントリービバレッジ＆フード,Prime,2587.T
2588,プレミアムウォーターホールディングス,Standard,2588.T
2590,ダイドーグループホールディングス,Prime,2590.T
2593,伊藤園,Prime,2593.T
2594,キーコーヒー,Prime,2594.T
2597,ユニカフェ,Standard,2597.T
2602,日清オイリオグループ,Prime,2602.T
2607,不二製油,Prime,2607.T
2612,かどや製油,Standard,2612.T
2613,Ｊ－オイルミルズ,Prime,2613.T
261A,日水コン,Standard,261A.T
262A,インターメスティック,Prime,262A.T
264A,Ｓｃｈｏｏ,Growth,264A.T
2652,まんだらけ,Standard,2652.T
2653,イオン九州,Standard,2653.T
2654,アスモ,Standard,2654.T
2656,ベクターホールディングス,Standard,2656.T
2659,サンエー,Prime,2659.T
265A,Ｈｍｃｏｍｍ,Growth,265A.T
2664,カワチ薬品,Prime,2664.T
2666,オートウェーブ,Standard,2666.T
2667,イメージ　ワン,Standard,2667.T
2668,タビオ,Standard,2668.T
2669,カネ美食品,Standard,2669.T
2670,エービーシー・マート,Prime,2670.T
2673,夢みつけ隊,Standard,2673.T
2674,ハードオフコーポレーション,Prime,2674.T
2676,高千穂交易,Prime,2676.T
2678,アスクル,Prime,2678.T
2681,ゲオホールディングス,Prime,2681.T
2683,魚喜,Standard,2683.T
2685,アンドエスティＨＤ,Prime,2685.T
2687,シー・ヴイ・エス・ベイエリア,Standard,2687.T
2689,オルバヘルスケアホールディングス,Standard,2689.T
268A,リガク・ホールディングス,Prime,268A.T
2693,ＹＫＴ,Standard,2693.T
2694,焼肉坂井ホールディングス,Standard,2694.T
2695,くら寿司,Prime,2695.T
2698,キャンドゥ,Standard,2698.T
269A,Ｓａｐｅｅｔ,Growth,269A.T
2700,木徳神糧,Standard,2700.T
2702,日本マクドナルドホールディングス,Standard,2702.T
2705,大戸屋ホールディングス,Standard,2705.T
2708,久世,Standard,2708.T
2721,ジェイホールディングス,Standard,2721.T
2722,ＩＫホールディングス,Standard,2722.T
2726,パルグループホールディングス,Prime,2726.T
2730,エディオン,Prime,2730.T
2733,あらた,Prime,2733.T
2734,サーラコーポレーション,Prime,2734.T
2735,ワッツ,Standard,2735.T
2736,フェスタリアホールディングス,Standard,2736.T
2737,トーメンデバイス,Prime,2737.T
2742,ハローズ,Prime,2742.T
2747,北雄ラッキー,Standard,2747.T
2749,ＪＰホールディングス,Prime,2749.T
274A,ガーデン,Standard,274A.T
2750,石光商事,Standard,2750.T
2751,テンポスホールディングス,Standard,2751.T
2752,フジオフードグループ本社,Prime,2752.T
2753,あみやき亭,Prime,2753.T
2760,東京エレクトロン　デバイス,Prime,2760.T
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,Standard,2762.T
2764,ひらまつ,Standard,2764.T
2767,円谷フィールズホールディングス,Prime,2767.T
2768,双日,Prime,2768.T
2769,ヴィレッジヴァンガードコーポレーション,Standard,2769.T
276A,ククレブ・アドバイザーズ,Growth,276A.T
2776,新都ホールディングス,Standard,2776.T
2778,パレモ・ホールディングス,Standard,2778.T
277A,グロービング,Prime,277A.T
2780,コメ兵ホールディングス,Standard,2780.T
2782,セリア,Standard,2782.T
2784,アルフレッサ　ホールディングス,Prime,2784.T
2788,アップルインターナショナル,Standard,2788.T
2789,カルラ,Standard,2789.T
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth,278A.T
2790,ナフコ,Standard,2790.T
2791,大黒天物産,Prime,2791.T
2792,ハニーズホールディングス,Prime,2792.T
2795,日本プリメックス,Standard,2795.T
2796,ファーマライズホールディングス,Standard,2796.T
2798,ワイズテーブルコーポレーション,Standard,2798.T
2801,キッコーマン,Prime,2801.T
2802,味の素,Prime,2802.T
2804,ブルドックソース,Prime,2804.T
2805,ヱスビー食品,Standard,2805.T
2806,ユタカフーズ,Standard,2806.T
2809,キユーピー,Prime,2809.T
280A,ＴＭＨ,Growth,280A.T
2810,ハウス食品グループ本社,Prime,2810.T
2811,カゴメ,Prime,2811.T
2813,和弘食品,Standard,2813.T
2814,佐藤食品工業,Standard,2814.T
2815,アリアケジャパン,Prime,2815.T
2816,ダイショー,Standard,2816.T
2818,ピエトロ,Standard,2818.T
2819,エバラ食品工業,Standard,2819.T
281A,インフォメティス,Growth,281A.T
2820,やまみ,Standard,2820.T
2831,はごろもフーズ,Standard,2831.T
285A,キオクシアホールディングス,Prime,285A.T
286A,ユカリア,Growth,286A.T
2871,ニチレイ,Prime,2871.T
2872,セイヒョー,Standard,2872.T
2874,横浜冷凍,Prime,2874.T
2875,東洋水産,Prime,2875.T
