date,session_index
2022-01-04,0
2022-01-05,1
2022-01-06,2
2022-01-07,3
2022-01-11,4
2022-01-12,5
2022-01-13,6
2022-01-14,7
2022-01-17,8
2022-01-18,9
2022-01-19,10
2022-01-20,11
2022-01-21,12
2022-01-24,13
2022-01-25,14
2022-01-26,15
2022-01-27,16
2022-01-28,17
2022-01-31,18
2022-02-01,19
2022-02-02,20
2022-02-03,21
2022-02-04,22
2022-02-07,23
2022-02-08,24
2022-02-09,25
2022-02-10,26
2022-02-14,27
2022-02-15,28
2022-02-16,29
2022-02-17,30
2022-02-18,31
2022-02-21,32
2022-02-22,33
2022-02-24,34
2022-02-25,35
2022-02-28,36
2022-03-01,37
2022-03-02,38
2022-03-03,39
2022-03-04,40
2022-03-07,41
2022-03-08,42
2022-03-09,43
2022-03-10,44
2022-03-11,45
2022-03-14,46
2022-03-15,47
2022-03-16,48
2022-03-17,49
2022-03-18,50
2022-03-22,51
2022-03-23,52
2022-03-24,53
2022-03-25,54
2022-03-28,55
2022-03-29,56
2022-03-30,57
2022-03-31,58
2022-04-01,59
2022-04-04,60
2022-04-05,61
2022-04-06,62
2022-04-07,63
2022-04-08,64
2022-04-11,65
2022-04-12,66
2022-04-13,67
2022-04-14,68
2022-04-15,69
2022-04-18,70
2022-04-19,71
2022-04-20,72
2022-04-21,73
2022-04-22,74
2022-04-25,75
2022-04-26,76
2022-04-27,77
2022-04-28,78
2022-05-02,79
2022-05-06,80
2022-05-09,81
2022-05-10,82
2022-05-11,83
2022-05-12,84
2022-05-13,85
2022-05-16,86
2022-05-17,87
2022-05-18,88
2022-05-19,89
2022-05-20,90
2022-05-23,91
2022-05-24,92
2022-05-25,93
2022-05-26,94
2022-05-27,95
2022-05-30,96
2022-05-31,97
2022-06-01,98
2022-06-02,99
2022-06-03,100
2022-06-06,101
2022-06-07,102
2022-06-08,103
2022-06-09,104
2022-06-10,105
2022-06-13,106
2022-06-14,107
2022-06-15,108
2022-06-16,109
2022-06-17,110
2022-06-20,111
2022-06-21,112
2022-06-22,113
2022-06-23,114
2022-06-24,115
2022-06-27,116
2022-06-28,117
2022-06-29,118
2022-06-30,119
2022-07-01,120
2022-07-04,121
2022-07-05,122
2022-07-06,123
2022-07-07,124
2022-07-08,125
2022-07-11,126
2022-07-12,127
2022-07-13,128
2022-07-14,129
2022-07-15,130
2022-07-19,131
2022-07-20,132
2022-07-21,133
2022-07-22,134
2022-07-25,135
2022-07-26,136
2022-07-27,137
2022-07-28,138
2022-07-29,139
2022-08-01,140
2022-08-02,141
2022-08-03,142
2022-08-04,143
2022-08-05,144
2022-08-08,145
2022-08-09,146
2022-08-10,147
2022-08-12,148
2022-08-15,149
2022-08-16,150
2022-08-17,151
2022-08-18,152
2022-08-19,153
2022-08-22,154
2022-08-23,155
2022-08-24,156
2022-08-25,157
2022-08-26,158
2022-08-29,159
2022-08-30,160
2022-08-31,161
2022-09-01,162
2022-09-02,163
2022-09-05,164
2022-09-06,165
2022-09-07,166
2022-09-08,167
2022-09-09,168
2022-09-12,169
2022-09-13,170
2022-09-14,171
2022-09-15,172
2022-09-16,173
2022-09-20,174
2022-09-21,175
2022-09-22,176
2022-09-26,177
2022-09-27,178
2022-09-28,179
2022-09-29,180
2022-09-30,181
2022-10-03,182
2022-10-04,183
2022-10-05,184
2022-10-06,185
2022-10-07,186
2022-10-11,187
2022-10-12,188
2022-10-13,189
2022-10-14,190
2022-10-17,191
2022-10-18,192
2022-10-19,193
2022-10-20,194
2022-10-21,195
2022-10-24,196
2022-10-25,197
2022-10-26,198
2022-10-27,199
2022-10-28,200
2022-10-31,201
2022-11-01,202
2022-11-02,203
2022-11-04,204
2022-11-07,205
2022-11-08,206
2022-11-09,207
2022-11-10,208
2022-11-11,209
2022-11-14,210
2022-11-15,211
2022-11-16,212
2022-11-17,213
2022-11-18,214
2022-11-21,215
2022-11-22,216
2022-11-24,217
2022-11-25,218
2022-11-28,219
2022-11-29,220
2022-11-30,221
2022-12-01,222
2022-12-02,223
2022-12-05,224
2022-12-06,225
2022-12-07,226
2022-12-08,227
2022-12-09,228
2022-12-12,229
2022-12-13,230
2022-12-14,231
2022-12-15,232
2022-12-16,233
2022-12-19,234
2022-12-20,235
2022-12-21,236
2022-12-22,237
2022-12-23,238
2022-12-26,239
2022-12-27,240
2022-12-28,241
2022-12-29,242
2022-12-30,243
2023-01-04,244
2023-01-05,245
2023-01-06,246
2023-01-10,247
2023-01-11,248
2023-01-12,249
2023-01-13,250
2023-01-16,251
2023-01-17,252
2023-01-18,253
2023-01-19,254
2023-01-20,255
2023-01-23,256
2023-01-24,257
2023-01-25,258
2023-01-26,259
2023-01-27,260
2023-01-30,261
2023-01-31,262
2023-02-01,263
2023-02-02,264
2023-02-03,265
2023-02-06,266
2023-02-07,267
2023-02-08,268
2023-02-09,269
2023-02-10,270
2023-02-13,271
2023-02-14,272
2023-02-15,273
2023-02-16,274
2023-02-17,275
2023-02-20,276
2023-02-21,277
2023-02-22,278
2023-02-24,279
2023-02-27,280
2023-02-28,281
2023-03-01,282
2023-03-02,283
2023-03-03,284
2023-03-06,285
2023-03-07,286
2023-03-08,287
2023-03-09,288
2023-03-10,289
2023-03-13,290
2023-03-14,291
2023-03-15,292
2023-03-16,293
2023-03-17,294
2023-03-20,295
2023-03-22,296
2023-03-23,297
2023-03-24,298
2023-03-27,299
2023-03-28,300
2023-03-29,301
2023-03-30,302
2023-03-31,303
2023-04-03,304
2023-04-04,305
2023-04-05,306
2023-04-06,307
2023-04-07,308
2023-04-10,309
2023-04-11,310
2023-04-12,311
2023-04-13,312
2023-04-14,313
2023-04-17,314
2023-04-18,315
2023-04-19,316
2023-04-20,317
2023-04-21,318
2023-04-24,319
2023-04-25,320
2023-04-26,321
2023-04-27,322
2023-04-28,323
2023-05-01,324
2023-05-02,325
2023-05-08,326
2023-05-09,327
2023-05-10,328
2023-05-11,329
2023-05-12,330
2023-05-15,331
2023-05-16,332
2023-05-17,333
2023-05-18,334
2023-05-19,335
2023-05-22,336
2023-05-23,337
2023-05-24,338
2023-05-25,339
2023-05-26,340
2023-05-29,341
2023-05-30,342
2023-05-31,343
2023-06-01,344
2023-06-02,345
2023-06-05,346
2023-06-06,347
2023-06-07,348
2023-06-08,349
2023-06-09,350
2023-06-12,351
2023-06-13,352
2023-06-14,353
2023-06-15,354
2023-06-16,355
2023-06-19,356
2023-06-20,357
2023-06-21,358
2023-06-22,359
2023-06-23,360
2023-06-26,361
2023-06-27,362
2023-06-28,363
2023-06-29,364
2023-06-30,365
2023-07-03,366
2023-07-04,367
2023-07-05,368
2023-07-06,369
2023-07-07,370
2023-07-10,371
2023-07-11,372
2023-07-12,373
2023-07-13,374
2023-07-14,375
2023-07-18,376
2023-07-19,377
2023-07-20,378
2023-07-21,379
2023-07-24,380
2023-07-25,381
2023-07-26,382
2023-07-27,383
2023-07-28,384
2023-07-31,385
2023-08-01,386
2023-08-02,387
2023-08-03,388
2023-08-04,389
2023-08-07,390
2023-08-08,391
2023-08-09,392
2023-08-10,393
2023-08-14,394
2023-08-15,395
2023-08-16,396
2023-08-17,397
2023-08-18,398
2023-08-21,399
2023-08-22,400
2023-08-23,401
2023-08-24,402
2023-08-25,403
2023-08-28,404
2023-08-29,405
2023-08-30,406
2023-08-31,407
2023-09-01,408
2023-09-04,409
2023-09-05,410
2023-09-06,411
2023-09-07,412
2023-09-08,413
2023-09-11,414
2023-09-12,415
2023-09-13,416
2023-09-14,417
2023-09-15,418
2023-09-19,419
2023-09-20,420
2023-09-21,421
2023-09-22,422
2023-09-25,423
2023-09-26,424
2023-09-27,425
2023-09-28,426
2023-09-29,427
2023-10-02,428
2023-10-03,429
2023-10-04,430
2023-10-05,431
2023-10-06,432
2023-10-10,433
2023-10-11,434
2023-10-12,435
2023-10-13,436
2023-10-16,437
2023-10-17,438
2023-10-18,439
2023-10-19,440
2023-10-20,441
2023-10-23,442
2023-10-24,443
2023-10-25,444
2023-10-26,445
2023-10-27,446
2023-10-30,447
2023-10-31,448
2023-11-01,449
2023-11-02,450
2023-11-06,451
2023-11-07,452
2023-11-08,453
2023-11-09,454
2023-11-10,455
2023-11-13,456
2023-11-14,457
2023-11-15,458
2023-11-16,459
2023-11-17,460
2023-11-20,461
2023-11-21,462
2023-11-22,463
2023-11-24,464
2023-11-27,465
2023-11-28,466
2023-11-29,467
2023-11-30,468
2023-12-01,469
2023-12-04,470
2023-12-05,471
2023-12-06,472
2023-12-07,473
2023-12-08,474
2023-12-11,475
2023-12-12,476
2023-12-13,477
2023-12-14,478
2023-12-15,479
2023-12-18,480
2023-12-19,481
2023-12-20,482
2023-12-21,483
2023-12-22,484
2023-12-25,485
2023-12-26,486
2023-12-27,487
2023-12-28,488
2023-12-29,489
2024-01-04,490
2024-01-05,491
2024-01-09,492
2024-01-10,493
2024-01-11,494
2024-01-12,495
2024-01-15,496
2024-01-16,497
2024-01-17,498
2024-01-18,499
2024-01-19,500
2024-01-22,501
2024-01-23,502
2024-01-24,503
2024-01-25,504
2024-01-26,505
2024-01-29,506
2024-01-30,507
2024-01-31,508
2024-02-01,509
2024-02-02,510
2024-02-05,511
2024-02-06,512
2024-02-07,513
2024-02-08,514
2024-02-09,515
2024-02-13,516
2024-02-14,517
2024-02-15,518
2024-02-16,519
2024-02-19,520
2024-02-20,521
2024-02-21,522
2024-02-22,523
2024-02-26,524
2024-02-27,525
2024-02-28,526
2024-02-29,527
2024-03-01,528
2024-03-04,529
2024-03-05,530
2024-03-06,531
2024-03-07,532
2024-03-08,533
2024-03-11,534
2024-03-12,535
2024-03-13,536
2024-03-14,537
2024-03-15,538
2024-03-18,539
2024-03-19,540
2024-03-21,541
2024-03-22,542
2024-03-25,543
2024-03-26,544
2024-03-27,545
2024-03-28,546
2024-03-29,547
2024-04-01,548
2024-04-02,549
2024-04-03,550
2024-04-04,551
2024-04-05,552
2024-04-08,553
2024-04-09,554
2024-04-10,555
2024-04-11,556
2024-04-12,557
2024-04-15,558
2024-04-16,559
2024-04-17,560
2024-04-18,561
2024-04-19,562
2024-04-22,563
2024-04-23,564
2024-04-24,565
2024-04-25,566
2024-04-26,567
2024-04-30,568
2024-05-01,569
2024-05-02,570
2024-05-07,571
2024-05-08,572
2024-05-09,573
2024-05-10,574
2024-05-13,575
2024-05-14,576
2024-05-15,577
2024-05-16,578
2024-05-17,579
2024-05-20,580
2024-05-21,581
2024-05-22,582
2024-05-23,583
2024-05-24,584
2024-05-27,585
2024-05-28,586
2024-05-29,587
2024-05-30,588
2024-05-31,589
2024-06-03,590
2024-06-04,591
2024-06-05,592
2024-06-06,593
2024-06-07,594
2024-06-10,595
2024-06-11,596
2024-06-12,597
2024-06-13,598
2024-06-14,599
2024-06-17,600
2024-06-18,601
2024-06-19,602
2024-06-20,603
2024-06-21,604
2024-06-24,605
2024-06-25,606
2024-06-26,607
2024-06-27,608
2024-06-28,609
2024-07-01,610
2024-07-02,611
2024-07-03,612
2024-07-04,613
2024-07-05,614
2024-07-08,615
2024-07-09,616
2024-07-10,617
2024-07-11,618
2024-07-12,619
2024-07-16,620
2024-07-17,621
2024-07-18,622
2024-07-19,623
2024-07-22,624
2024-07-23,625
2024-07-24,626
2024-07-25,627
2024-07-26,628
2024-07-29,629
2024-07-30,630
2024-07-31,631
2024-08-01,632
2024-08-02,633
2024-08-05,634
2024-08-06,635
2024-08-07,636
2024-08-08,637
2024-08-09,638
2024-08-13,639
2024-08-14,640
2024-08-15,641
2024-08-16,642
2024-08-19,643
2024-08-20,644
2024-08-21,645
2024-08-22,646
2024-08-23,647
2024-08-26,648
2024-08-27,649
2024-08-28,650
2024-08-29,651
2024-08-30,652
2024-09-02,653
2024-09-03,654
2024-09-04,655
2024-09-05,656
2024-09-06,657
2024-09-09,658
2024-09-10,659
2024-09-11,660
2024-09-12,661
2024-09-13,662
2024-09-17,663
2024-09-18,664
2024-09-19,665
2024-09-20,666
2024-09-24,667
2024-09-25,668
2024-09-26,669
2024-09-27,670
2024-09-30,671
2024-10-01,672
2024-10-02,673
2024-10-03,674
2024-10-04,675
2024-10-07,676
2024-10-08,677
2024-10-09,678
2024-10-10,679
2024-10-11,680
2024-10-15,681
2024-10-16,682
2024-10-17,683
2024-10-18,684
2024-10-21,685
2024-10-22,686
2024-10-23,687
2024-10-24,688
2024-10-25,689
2024-10-28,690
2024-10-29,691
2024-10-30,692
2024-10-31,693
2024-11-01,694
2024-11-05,695
2024-11-06,696
2024-11-07,697
2024-11-08,698
2024-11-11,699
2024-11-12,700
2024-11-13,701
2024-11-14,702
2024-11-15,703
2024-11-18,704
2024-11-19,705
2024-11-20,706
2024-11-21,707
2024-11-22,708
2024-11-25,709
2024-11-26,710
2024-11-27,711
2024-11-28,712
2024-11-29,713
2024-12-02,714
2024-12-03,715
2024-12-04,716
2024-12-05,717
2024-12-06,718
2024-12-09,719
2024-12-10,720
2024-12-11,721
2024-12-12,722
2024-12-13,723
2024-12-16,724
2024-12-17,725
2024-12-18,726
2024-12-19,727
2024-12-20,728
2024-12-23,729
2024-12-24,730
2024-12-25,731
2024-12-26,732
2024-12-27,733
2024-12-30,734
2025-01-06,735
2025-01-07,736
2025-01-08,737
2025-01-09,738
2025-01-10,739
2025-01-14,740
2025-01-15,741
2025-01-16,742
2025-01-17,743
2025-01-20,744
2025-01-21,745
2025-01-22,746
2025-01-23,747
2025-01-24,748
2025-01-27,749
2025-01-28,750
2025-01-29,751
2025-01-30,752
2025-01-31,753
2025-02-03,754
2025-02-04,755
2025-02-05,756
2025-02-06,757
2025-02-07,758
2025-02-10,759
2025-02-12,760
2025-02-13,761
2025-02-14,762
2025-02-17,763
2025-02-18,764
2025-02-19,765
2025-02-20,766
2025-02-21,767
2025-02-25,768
2025-02-26,769
2025-02-27,770
2025-02-28,771
2025-03-03,772
2025-03-04,773
2025-03-05,774
2025-03-06,775
2025-03-07,776
2025-03-10,777
2025-03-11,778
2025-03-12,779
2025-03-13,780
2025-03-14,781
2025-03-17,782
2025-03-18,783
2025-03-19,784
2025-03-21,785
2025-03-24,786
2025-03-25,787
2025-03-26,788
2025-03-27,789
2025-03-28,790
2025-03-31,791
2025-04-01,792
2025-04-02,793
2025-04-03,794
2025-04-04,795
2025-04-07,796
2025-04-08,797
2025-04-09,798
2025-04-10,799
2025-04-11,800
2025-04-14,801
2025-04-15,802
2025-04-16,803
2025-04-17,804
2025-04-18,805
2025-04-21,806
2025-04-22,807
2025-04-23,808
2025-04-24,809
2025-04-25,810
2025-04-28,811
2025-04-30,812
2025-05-01,813
2025-05-02,814
2025-05-07,815
2025-05-08,816
2025-05-09,817
2025-05-12,818
2025-05-13,819
2025-05-14,820
2025-05-15,821
2025-05-16,822
2025-05-19,823
2025-05-20,824
2025-05-21,825
2025-05-22,826
2025-05-23,827
2025-05-26,828
2025-05-27,829
2025-05-28,830
2025-05-29,831
2025-05-30,832
2025-06-02,833
2025-06-03,834
2025-06-04,835
2025-06-05,836
2025-06-06,837
2025-06-09,838
2025-06-10,839
2025-06-11,840
2025-06-12,841
2025-06-13,842
2025-06-16,843
2025-06-17,844
2025-06-18,845
2025-06-19,846
2025-06-20,847
2025-06-23,848
2025-06-24,849
2025-06-25,850
2025-06-26,851
2025-06-27,852
2025-06-30,853
2025-07-01,854
2025-07-02,855
2025-07-03,856
2025-07-04,857
2025-07-07,858
2025-07-08,859
2025-07-09,860
2025-07-10,861
2025-07-11,862
2025-07-14,863
2025-07-15,864
2025-07-16,865
2025-07-17,866
2025-07-18,867
2025-07-22,868
2025-07-23,869
2025-07-24,870
2025-07-25,871
2025-07-28,872
2025-07-29,873
2025-07-30,874
2025-07-31,875
2025-08-01,876
2025-08-04,877
2025-08-05,878
2025-08-06,879
2025-08-07,880
2025-08-08,881
2025-08-12,882
2025-08-13,883
2025-08-14,884
2025-08-15,885
2025-08-18,886
2025-08-19,887
2025-08-20,888
2025-08-21,889
2025-08-22,890
2025-08-25,891
2025-08-26,892
2025-08-27,893
2025-08-28,894
2025-08-29,895
2025-09-01,896
2025-09-02,897
2025-09-03,898
2025-09-04,899
2025-09-05,900
2025-09-08,901
2025-09-09,902
2025-09-10,903
2025-09-11,904
2025-09-12,905
2025-09-16,906
2025-09-17,907
2025-09-18,908
2025-09-19,909
2025-09-22,910
2025-09-24,911
2025-09-25,912
2025-09-26,913
2025-09-29,914
2025-09-30,915
2025-10-01,916
2025-10-02,917
2025-10-03,918
2025-10-06,919
2025-10-07,920
2025-10-08,921
2025-10-09,922
2025-10-10,923
2025-10-14,924
2025-10-15,925
2025-10-16,926
2025-10-17,927
2025-10-20,928
2025-10-21,929
2025-10-22,930
2025-10-23,931
2025-10-24,932
2025-10-27,933
2025-10-28,934
2025-10-29,935
2025-10-30,936
2025-10-31,937
2025-11-04,938
2025-11-05,939
2025-11-06,940
2025-11-07,941
2025-11-10,942
2025-11-11,943
2025-11-12,944
2025-11-13,945
2025-11-14,946
2025-11-17,947
2025-11-18,948
2025-11-19,949
2025-11-20,950
2025-11-21,951
2025-11-25,952
2025-11-26,953
2025-11-27,954
2025-11-28,955
2025-12-01,956
2025-12-02,957
2025-12-03,958
2025-12-04,959
2025-12-05,960
2025-12-08,961
2025-12-09,962
2025-12-10,963
2025-12-11,964
2025-12-12,965
2025-12-15,966
2025-12-16,967
2025-12-17,968
2025-12-18,969
2025-12-19,970
2025-12-22,971
2025-12-23,972
2025-12-24,973
2025-12-25,974
2025-12-26,975
2025-12-29,976
2025-12-30,977
2026-01-05,978
2026-01-06,979
2026-01-07,980
2026-01-08,981
2026-01-09,982
2026-01-13,983
2026-01-14,984
2026-01-15,985
2026-01-16,986
2026-01-19,987
2026-01-20,988
2026-01-21,989
2026-01-22,990
2026-01-23,991
2026-01-26,992
2026-01-27,993
2026-01-28,994
2026-01-29,995
2026-01-30,996
2026-02-02,997
2026-02-03,998
2026-02-04,999
2026-02-05,1000
2026-02-06,1001
2026-02-09,1002
2026-02-10,1003
2026-02-12,1004
2026-02-13,1005
2026-02-16,1006
2026-02-17,1007
2026-02-18,1008
2026-02-19,1009
2026-02-20,1010
2026-02-24,1011
2026-02-25,1012
2026-02-26,1013
2026-02-27,1014
2026-03-02,1015
2026-03-03,1016
2026-03-04,1017
2026-03-05,1018
2026-03-06,1019
2026-03-09,1020
2026-03-10,1021
2026-03-11,1022
2026-03-12,1023
2026-03-13,1024
2026-03-16,1025
2026-03-17,1026
2026-03-18,1027
2026-03-19,1028
2026-03-23,1029
2026-03-24,1030
2026-03-25,1031
2026-03-26,1032
2026-03-27,1033
2026-03-30,1034
2026-03-31,1035
2026-04-01,1036
2026-04-02,1037
2026-04-03,1038
2026-04-06,1039
2026-04-07,1040
2026-04-08,1041
2026-04-09,1042
2026-04-10,1043
2026-04-13,1044
2026-04-14,1045
2026-04-15,1046
2026-04-16,1047
2026-04-17,1048
2026-04-20,1049
2026-04-21,1050
2026-04-22,1051
2026-04-23,1052
2026-04-24,1053
2026-04-27,1054
2026-04-28,1055
2026-04-30,1056
2026-05-01,1057
2026-05-07,1058
2026-05-08,1059
2026-05-11,1060
2026-05-12,1061
2026-05-13,1062
2026-05-14,1063
2026-05-15,1064
2026-05-18,1065
